,Bug ID,,Test,Opt Status,Debug Status,Owner,Assignee,Fission Target,Comments
,Core::Audio/Video: Playback,,,,,,,,
,,dom/media/test/test_access_control.html,dom/media/test/test_access_control.html,passes,passes,drno,jya,M4,
,,dom/media/test/test_autoplay_policy_activation.html,dom/media/test/test_autoplay_policy_activation.html,fails,fails,drno,jya,M4,Bug 1562264 removed the debug skip-if
,,toolkit/content/tests/browser/browser_autoplay_policy_iframe_hierarchy.js,toolkit/content/tests/browser/browser_autoplay_policy_iframe_hierarchy.js,fails,fails,drno,jya,M4,
,,toolkit/content/tests/browser/browser_autoplay_videoDocument.js,toolkit/content/tests/browser/browser_autoplay_videoDocument.js,fails,fails,drno,jya,M4,
,Core::DOM: Content Processes,,,,,,,,
1563578,1563578,dom/ipc/tests/JSWindowActor/browser_destroy_callbacks.js,dom/ipc/tests/JSWindowActor/browser_destroy_callbacks.js,passes,passes,jimm/neha,kmag,M4,
1563578,1563578,dom/ipc/tests/JSWindowActor/browser_event_listener.js,dom/ipc/tests/JSWindowActor/browser_event_listener.js,passes,passes,jimm/neha,kmag,M4,
1563578,1563578,dom/ipc/tests/JSWindowActor/browser_getActor.js,dom/ipc/tests/JSWindowActor/browser_getActor.js,passes,passes,jimm/neha,kmag,M4,NoSuchWindowException: Browsing context has been discarded
1563578,1563578,dom/ipc/tests/JSWindowActor/browser_getActor_filter.js,dom/ipc/tests/JSWindowActor/browser_getActor_filter.js,passes,passes,jimm/neha,kmag,M4,
1563578,1563578,dom/ipc/tests/JSWindowActor/browser_observer_notification.js,dom/ipc/tests/JSWindowActor/browser_observer_notification.js,passes,passes,jimm/neha,kmag,M4,
1563578,1563578,dom/ipc/tests/JSWindowActor/browser_registerWindowActor.js,dom/ipc/tests/JSWindowActor/browser_registerWindowActor.js,passes,passes,jimm/neha,kmag,M4,
1563578,1563578,dom/ipc/tests/JSWindowActor/browser_sendAsyncMessage.js,dom/ipc/tests/JSWindowActor/browser_sendAsyncMessage.js,passes,passes,jimm/neha,kmag,M4,
1563578,1563578,dom/ipc/tests/JSWindowActor/browser_sendQuery.js,dom/ipc/tests/JSWindowActor/browser_sendQuery.js,passes,passes,jimm/neha,kmag,M4,
1548274,1548274,dom/ipc/tests/browser_cancel_content_js.js,dom/ipc/tests/browser_cancel_content_js.js,fails,fails,jimm/neha,kashav/annyG,M4,Looks like doing BrowserTestUtils.loadURI() then BrowserTestUtils.browserLoaded() does not actually wait until the page loaded.
,,dom/ipc/tests/browser_crash_oopiframe.js,dom/ipc/tests/browser_crash_oopiframe.js,passes,passes,jimm/neha,,M4,
,,dom/ipc/tests/browser_domainPolicy.js,dom/ipc/tests/browser_domainPolicy.js,skipped,skipped,jimm/neha,,M4,"This loads some OOP iframes, then checks them for values. Main problem will be understanding this custom test harness code it uses."
1562029,1562029,dom/ipc/tests/test_force_oop_iframe.html,dom/ipc/tests/test_force_oop_iframe.html,passes,passes,jimm/neha,nika,M4,Crashes: @ RefPtr<mozilla::dom::BrowserBridgeChild>::operator->() const
,Core::DOM: Core & HTML,,,,,,,,
,,dom/base/test/browser_aboutnewtab_process_selection.js,dom/base/test/browser_aboutnewtab_process_selection.js,fails,fails,hsinyi/neha,,M4,"Bug 1576995 - This sets ipc.keepProcessesAlive.web, which isn't going to work correctly with Fission."
,,dom/base/test/browser_bug593387.js,dom/base/test/browser_bug593387.js,skipped,skipped,hsinyi/neha,"SecEng (?)
",M4,
,,dom/base/test/browser_messagemanager_unload.js,dom/base/test/browser_messagemanager_unload.js,skipped,skipped,hsinyi/neha,jdai,M∞,"JSWindowActor doesn't support unload, pagehide and pageshow events that leads to the test failure. Next step: to sort out if these three events are needed by front-end."
1582744,1582744,dom/base/test/browser_use_counters.js,dom/base/test/browser_use_counters.js,passes,passes,hsinyi/neha,edgar,M4,bug 1582744
,,dom/base/test/test_bug1091883.html,dom/base/test/test_bug1091883.html,skipped,skipped,hsinyi/neha,"SecEng (?)
",M4,
1560110,1560110,dom/base/test/test_bug1100912.html,dom/base/test/test_bug1100912.html,passes,passes,hsinyi/neha,farre,M4,
1562264,1562264,dom/base/test/test_bug326337.html,dom/base/test/test_bug326337.html,passes,passes,hsinyi/neha,kashav,M4,
,,dom/base/test/test_bug466080.html,dom/base/test/test_bug466080.html,passes,passes,hsinyi/neha,kmag,M4,bug 1580750
1586772,1586772,dom/base/test/test_bug907892.html,dom/base/test/test_bug907892.html,fails,fails,hsinyi/neha,edgar,M4,
,,dom/base/test/test_bug976673.html,dom/base/test/test_bug976673.html,skipped,skipped,hsinyi/neha,henri,M4,Times out in weird ways.; likely depends on https://bugzilla.mozilla.org/show_bug.cgi?id=1556627
,,dom/base/test/test_intersectionobservers.html,dom/base/test/test_intersectionobservers.html,passes,passes,hsinyi/neha,hiro,M4,
1585932,1585932,dom/base/test/test_postMessages.html,dom/base/test/test_postMessages.html,skipped,skipped,hsinyi/neha,baku (?),M4,
1586272,1586272,dom/base/test/test_shared_compartment2.html,dom/base/test/test_shared_compartment2.html,passes,passes,hsinyi/neha,jandem,M4,
,,dom/base/test/test_window_cross_origin_props.html,dom/base/test/test_window_cross_origin_props.html,fails,skipped,hsinyi/neha,henri,M4,Likely depends on https://bugzilla.mozilla.org/show_bug.cgi?id=1556627
,,dom/base/test/test_x-frame-options.html,dom/base/test/test_x-frame-options.html,fails,fails,hsinyi/neha,SecEng (?),M4,Cross-origin X-Frame-Options
1575272,1575272,dom/bindings/test/test_bug1036214.html,dom/bindings/test/test_bug1036214.html,passes,passes,hsinyi/neha,mccr8,M4,Landed on 8/22. Needs followup.
1575272,1575272,dom/bindings/test/test_crossOriginWindowSymbolAccess.html,dom/bindings/test/test_crossOriginWindowSymbolAccess.html,passes,passes,hsinyi/neha,mccr8,M4,Landed on 8/22. Needs followup.
,,dom/html/test/test_bug1292522_same_domain_with_different_port_number.html,dom/html/test/test_bug1292522_same_domain_with_different_port_number.html,passes,passes,hsinyi/neha,valentin,M4,bug 1580750
,,dom/html/test/test_bug1295719_event_sequence_for_arrow_keys.html,dom/html/test/test_bug1295719_event_sequence_for_arrow_keys.html,passes,passes,hsinyi/neha,mirko,M4,17th of September: couldn't reproduce the failure on Ubuntu 18.04. Perhaps unskip? Got unskipped in bug 1582531.
,,dom/html/test/test_bug1295719_event_sequence_for_number_keys.html,dom/html/test/test_bug1295719_event_sequence_for_number_keys.html,passes,passes,hsinyi/neha,mirko,M4,17th of September: couldn't reproduce the failure on Ubuntu 18.04. Perhaps unskip? Got unskipped in bug 1582531.
,,dom/html/test/test_bug1315146.html,dom/html/test/test_bug1315146.html,passes,passes,hsinyi/neha,mirko,M4,17th of September: couldn't reproduce the failure on Ubuntu 18.04. Perhaps unskip? Got unskipped in bug 1582531.
,,dom/html/test/test_bug1323815.html,dom/html/test/test_bug1323815.html,passes,passes,hsinyi/neha,henri,M4,Likely depends on bug 1556627. Got unskipped in bug 1582531
1579820,1579820,dom/html/test/test_bug196523.html,dom/html/test/test_bug196523.html,passes,passes,hsinyi/neha,kmag,M4,
,,dom/html/test/test_bug209275.xhtml,dom/html/test/test_bug209275.xhtml,passes,passes,hsinyi/neha,jdai (?),M4,Got unskipped in bug 1582531
,,dom/html/test/test_bug330705-1.html,dom/html/test/test_bug330705-1.html,passes,passes,hsinyi/neha,henri,M4,Likely depends on bug 1556627. Got unskipped in bug 1582531.
,,dom/html/test/test_bug386496.html,dom/html/test/test_bug386496.html,passes,passes,hsinyi/neha,masayuki,M4,Got unskipped in bug 1582531
,,dom/html/test/test_bug386996.html,dom/html/test/test_bug386996.html,passes,passes,hsinyi/neha,masayuki,M4,Got unskipped in bug 1582531
,,dom/html/test/test_bug388558.html,dom/html/test/test_bug388558.html,passes,passes,hsinyi/neha,mirko,M4,Got unskipped in bug 1582531
,,dom/html/test/test_bug460568.html,dom/html/test/test_bug460568.html,passes,passes,hsinyi/neha,masayuki,M4,Got unskipped in bug 1582531
,,dom/html/test/test_bug500885.html,dom/html/test/test_bug500885.html,passes,passes,hsinyi/neha,mirko,M4,Got unskipped in bug 1582531
,,dom/html/test/test_bug592802.html,dom/html/test/test_bug592802.html,passes,passes,hsinyi/neha,mirko,M4,Got unskipped in bug 1582531
,,dom/html/test/test_bug871161.html,dom/html/test/test_bug871161.html,passes,passes,hsinyi/neha,henri,M4,Encoding (non-)inheritance
,,dom/html/test/test_filepicker_default_directory.html,dom/html/test/test_filepicker_default_directory.html,passes,passes,hsinyi/neha,mirko,M4,Got unskipped in bug 1582531
,,dom/html/test/test_input_files_not_nsIFile.html,dom/html/test/test_input_files_not_nsIFile.html,passes,passes,hsinyi/neha,mirko,M4,Got unskipped in bug 1582531
,,dom/html/test/test_multipleFilePicker.html,dom/html/test/test_multipleFilePicker.html,passes,passes,hsinyi/neha,mirko,M4,Got unskipped in bug 1582531
,,dom/permission/tests/test_cross_origin_iframe.html,dom/permission/tests/test_cross_origin_iframe.html,skipped,skipped,hsinyi/neha,tnguyen,M4,
